,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
90783,223.16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.782074,0.0,0.0,43.23089,0.0,0.0,41.9796,0.0,0.0,0.0,237.1371,376.57455,45.084435,0.0,370.41507,43.04897,170.16171,0.0,0.0,276.90063,0.0,0.0,0.0,0.0,42.04103,166.93579,0.0,44.250526,573604824.852762,2019-03-06 22:40:19.852762
90784,223.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76474,0.0,0.0,43.251366,0.0,0.0,41.981834,0.0,0.0,0.0,237.19176,376.7074,45.14076,0.0,370.49652,43.08954,170.19945,0.0,0.0,276.887,0.0,0.0,0.0,0.0,42.087265,166.79683,0.0,44.288048,573604828.9488261,2019-03-06 22:40:23.948826
90785,223.06827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77195,0.0,0.0,43.264015,0.0,0.0,41.994236,0.0,0.0,0.0,237.28706,377.03915,45.18472,0.0,370.79196,43.128147,170.24416,0.0,0.0,277.00986,0.0,0.0,0.0,0.0,42.128273,166.739,0.0,44.34042,573604833.044898,2019-03-06 22:40:28.044898
90786,223.00674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76615,0.0,0.0,43.27095,0.0,0.0,41.995834,0.0,0.0,0.0,237.32358,377.23465,45.22314,0.0,370.95392,43.160305,170.27734,0.0,0.0,277.0369,0.0,0.0,0.0,0.0,42.165764,166.6258,0.0,44.382935,573604837.14097,2019-03-06 22:40:32.140970
90787,222.9331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.756332,0.0,0.0,43.282955,0.0,0.0,41.998184,0.0,0.0,0.0,237.36943,377.41696,45.267193,0.0,371.09525,43.194794,170.30354,0.0,0.0,277.0632,0.0,0.0,0.0,0.0,42.20558,166.5033,0.0,44.423595,573604841.2370341,2019-03-06 22:40:36.237034
90788,222.97961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.769028,0.0,0.0,43.280777,0.0,0.0,42.005447,0.0,0.0,0.0,237.4462,377.72687,45.297688,0.0,371.3939,43.223766,170.38716,0.0,0.0,277.15585,0.0,0.0,0.0,0.0,42.239212,166.47787,0.0,44.474663,573604845.3330979,2019-03-06 22:40:40.333098
90789,222.97348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77253,0.0,0.0,43.280807,0.0,0.0,42.008526,0.0,0.0,0.0,237.50499,377.96762,45.332798,0.0,371.61823,43.253582,170.46736,0.0,0.0,277.20248,0.0,0.0,0.0,0.0,42.27559,166.4158,0.0,44.521767,573604849.429162,2019-03-06 22:40:44.429162
90790,222.88632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7591,0.0,0.0,43.291786,0.0,0.0,42.00775,0.0,0.0,0.0,237.5364,378.12143,45.373165,0.0,371.72916,43.28526,170.47887,0.0,0.0,277.21768,0.0,0.0,0.0,0.0,42.312527,166.27594,0.0,44.557816,573604853.5252271,2019-03-06 22:40:48.525227
90791,222.86713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.759716,0.0,0.0,43.290787,0.0,0.0,42.00836,0.0,0.0,0.0,237.57436,378.3453,45.40264,0.0,371.93185,43.312756,170.52635,0.0,0.0,277.2651,0.0,0.0,0.0,0.0,42.3449,166.18834,0.0,44.600708,573604857.6212921,2019-03-06 22:40:52.621292
90792,222.76025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.741898,0.0,0.0,43.30231,0.0,0.0,42.005188,0.0,0.0,0.0,237.60376,378.45724,45.445755,0.0,372.00192,43.343674,170.54918,0.0,0.0,277.25162,0.0,0.0,0.0,0.0,42.383057,166.04137,0.0,44.63375,573604861.717356,2019-03-06 22:40:56.717356
