,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
41818,233.51578,331.54926,34.50779,249.25165,314.94742,33.926464,263.44333,347.5335,28.814114,245.48003,354.29907,39.606205,219.04567,336.99332,39.968975,271.0808,356.54086,40.37791,229.2279,314.25775,32.131092,221.40538,326.81787,36.443718,160.54039,316.7736,33.870106,269.7567,339.54843,31.36706,233.98785,330.20898,37.82216,169.425,311.42862,32.31806,573284804.035961,2019-03-03 05:46:39.035961,GRB190303240
41819,232.32764,326.23898,39.407475,245.8981,329.2368,36.669014,250.70052,335.3781,34.498272,243.12656,355.27847,33.527935,208.06152,331.096,34.67692,285.41858,353.63675,42.146286,216.69878,321.71735,35.855225,215.94467,322.54532,36.839928,164.45924,321.0871,41.702168,264.23486,343.81897,34.107468,244.38097,334.33353,40.370872,162.57755,317.5159,32.123756,573284808.1320341,2019-03-03 05:46:43.132034,GRB190303240
41820,227.82458,324.87552,35.291245,244.13406,328.06128,33.531666,256.41586,352.27774,37.050915,254.68481,334.6782,36.663635,210.62956,335.8317,38.40316,286.59567,345.60065,37.245674,222.37918,320.14764,39.381687,214.18323,319.6092,34.09687,173.86037,313.8493,35.04618,262.48004,334.61795,31.16828,244.17119,320.00928,27.630928,168.46257,325.56372,33.8884,573284812.228098,2019-03-03 05:46:47.228098,GRB190303240
41821,232.73994,345.8747,32.548298,242.94763,324.51843,34.118553,266.99313,369.12485,31.95292,247.6707,343.17,40.396015,221.98729,344.83463,37.226467,284.61826,357.92902,38.81158,222.7625,321.115,31.151484,219.67065,325.0969,36.056557,171.49321,299.33002,35.04256,260.92487,345.22067,32.15002,244.77507,342.17554,35.471806,157.87724,311.64105,33.690926,573284816.324163,2019-03-03 05:46:51.324163,GRB190303240
41822,236.66165,342.1496,32.94048,242.76526,337.2829,30.982965,261.50482,335.40836,34.109325,243.14305,360.989,36.863625,197.66884,316.7795,37.8098,278.54044,347.9305,38.22335,230.21117,330.52444,33.698997,215.55144,330.5775,36.25183,174.44696,325.39938,36.612324,263.8529,345.4003,32.54055,235.74883,336.868,36.841877,156.10939,309.86832,37.41141,573284820.420228,2019-03-03 05:46:55.420228,GRB190303240
41823,236.26115,334.49088,31.762909,234.13353,338.8465,29.60985,258.16174,350.09634,32.53975,243.70993,350.95798,38.624985,200.41533,329.3237,34.675964,256.78003,329.8937,40.77118,231.5975,337.5994,33.11335,203.58609,340.15924,39.580738,166.81538,329.71494,38.17958,260.54047,348.3675,30.582628,235.36386,326.88336,34.49129,163.95656,316.15994,32.321182,573284824.5162921,2019-03-03 05:46:59.516292,GRB190303240
41824,234.49435,330.3704,31.566547,249.24443,324.93942,34.709885,270.3153,335.7869,32.931812,255.49414,351.378,33.137768,206.69194,321.69495,34.285393,259.5363,345.00293,45.673683,224.33401,325.6272,36.050182,215.33916,341.91705,33.11403,164.0687,323.8301,39.54878,268.57635,328.17285,34.111156,236.53548,325.30978,30.57128,158.66158,326.13766,34.86637,573284828.612357,2019-03-03 05:47:03.612357,GRB190303240
41825,235.65735,335.25296,32.348972,244.32556,317.66245,34.315388,263.44495,338.51892,35.086792,242.15909,339.61096,37.059162,211.40025,328.56183,35.853794,258.74423,341.66,41.75191,233.94992,328.58795,38.991653,218.48555,324.29916,34.879307,163.86673,319.70654,32.890816,260.14603,349.5406,31.366514,246.1406,338.44333,30.179659,159.06288,321.6518,38.590378,573284832.708422,2019-03-03 05:47:07.708422,GRB190303240
41826,228.78835,342.3003,33.32821,248.4354,327.65237,32.549545,269.53653,342.4584,36.852993,237.44066,352.72977,40.97861,215.50932,333.05988,35.265163,258.52292,344.76254,39.199837,233.14694,321.8995,32.327095,221.80652,322.1289,32.134514,177.58606,316.7963,35.830486,257.9814,340.904,31.169485,226.1433,330.20056,33.705933,161.20729,320.25995,30.361034,573284836.804486,2019-03-03 05:47:11.804486,GRB190303240
41827,235.2529,334.64725,32.15123,243.16058,329.24728,31.179462,256.81046,351.88913,37.05128,244.30864,344.11047,38.234497,217.68132,340.33524,35.463833,257.93024,337.70047,38.415142,243.74539,331.721,29.39052,219.46454,320.77094,31.156126,168.56313,316.76556,42.874943,264.4665,347.19803,32.935783,224.38309,324.7186,36.84194,160.21896,312.21152,29.771738,573284840.9005511,2019-03-03 05:47:15.900551,GRB190303240
