,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
41822,231.83356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66633,0.0,0.0,36.60853,0.0,0.0,35.16426,0.0,0.0,0.0,229.54527,325.39618,35.01636,0.0,322.2482,33.640804,163.78899,0.0,0.0,263.25208,0.0,0.0,0.0,0.0,32.439415,158.80537,0.0,33.221157,573284820.420228,2019-03-03 05:46:55.420228
41823,231.84082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.673138,0.0,0.0,36.63637,0.0,0.0,35.1867,0.0,0.0,0.0,229.73401,325.83078,35.07677,0.0,322.6505,33.68686,163.90282,0.0,0.0,263.42856,0.0,0.0,0.0,0.0,32.482338,158.79813,0.0,33.27652,573284824.5162921,2019-03-03 05:46:59.516292
41824,231.78804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.670456,0.0,0.0,36.680077,0.0,0.0,35.212738,0.0,0.0,0.0,229.88573,326.1553,35.1414,0.0,322.88968,33.75271,163.96669,0.0,0.0,263.59805,0.0,0.0,0.0,0.0,32.529728,158.75604,0.0,33.3397,573284828.612357,2019-03-03 05:47:03.612357
41825,231.81961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.676804,0.0,0.0,36.689663,0.0,0.0,35.22458,0.0,0.0,0.0,230.085,326.64694,35.1901,0.0,323.3884,33.775883,164.08888,0.0,0.0,263.77,0.0,0.0,0.0,0.0,32.562874,158.75266,0.0,33.378624,573284832.708422,2019-03-03 05:47:07.708422
41826,231.80957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.689846,0.0,0.0,36.715534,0.0,0.0,35.24802,0.0,0.0,0.0,230.25562,327.07037,35.252834,0.0,323.7922,33.8215,164.22057,0.0,0.0,263.90466,0.0,0.0,0.0,0.0,32.61078,158.74178,0.0,33.43795,573284836.804486,2019-03-03 05:47:11.804486
41827,231.85294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.69793,0.0,0.0,36.747192,0.0,0.0,35.273293,0.0,0.0,0.0,230.49084,327.614,35.31688,0.0,324.30234,33.869736,164.33653,0.0,0.0,264.14468,0.0,0.0,0.0,0.0,32.65616,158.75424,0.0,33.49347,573284840.9005511,2019-03-03 05:47:15.900551
41828,231.84213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.700188,0.0,0.0,36.77739,0.0,0.0,35.293716,0.0,0.0,0.0,230.67592,328.04404,35.376133,0.0,324.68896,33.918606,164.44154,0.0,0.0,264.33008,0.0,0.0,0.0,0.0,32.70075,158.74344,0.0,33.54813,573284844.996624,2019-03-03 05:47:19.996624
41829,231.8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.714333,0.0,0.0,36.826096,0.0,0.0,35.3302,0.0,0.0,0.0,230.87178,328.49463,35.45279,0.0,325.07776,33.988567,164.55971,0.0,0.0,264.5249,0.0,0.0,0.0,0.0,32.7591,158.74379,0.0,33.622406,573284849.092696,2019-03-03 05:47:24.092696
41830,231.8153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.716278,0.0,0.0,36.86721,0.0,0.0,35.3614,0.0,0.0,0.0,231.06264,328.92764,35.52298,0.0,325.44214,34.047073,164.63791,0.0,0.0,264.71735,0.0,0.0,0.0,0.0,32.812187,158.72133,0.0,33.685913,573284853.188761,2019-03-03 05:47:28.188761
41831,231.79767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.715042,0.0,0.0,36.89415,0.0,0.0,35.381203,0.0,0.0,0.0,231.25233,329.3821,35.581993,0.0,325.85336,34.089394,164.71477,0.0,0.0,264.9005,0.0,0.0,0.0,0.0,32.85549,158.6922,0.0,33.735756,573284857.284826,2019-03-03 05:47:32.284826
