,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
69924,208.31982,351.3805,48.20948,188.45807,333.22992,38.396862,159.7711,331.68167,42.29235,266.16058,378.54822,40.600765,269.83664,367.88776,40.004852,209.78375,354.5365,44.659847,220.76082,339.46628,33.887863,258.39944,361.13184,38.622677,297.85883,371.196,38.825573,231.13521,320.0635,34.278526,187.20801,319.5852,32.898476,196.34541,338.0198,42.91382,573421060.1185551,2019-03-04 19:37:35.118555,GRB190304818
69925,213.99747,358.0342,40.565453,195.51952,332.65747,38.0068,145.47234,347.33234,43.465492,284.4109,384.24893,45.309597,276.50323,365.92557,38.828114,219.98882,363.7749,45.05559,226.05067,339.46777,36.04274,257.03885,362.3248,34.114998,306.46637,356.07355,39.411224,224.26245,320.43088,35.05937,202.31056,321.97342,35.840107,215.54099,333.69662,37.42575,573421064.2146201,2019-03-04 19:37:39.214620,GRB190304818
69926,214.96712,363.11218,35.272636,196.70673,339.53464,39.576454,160.35399,325.9944,46.598595,270.0882,394.05023,42.366776,288.10117,380.6701,36.47843,216.45724,344.7645,43.879116,244.67232,329.88644,36.43639,262.93323,359.79306,34.11662,321.78183,356.48956,37.452972,220.15532,317.69745,31.142967,199.95651,329.01758,32.90176,205.93135,328.00104,34.289234,573421068.310685,2019-03-04 19:37:43.310685,GRB190304818
69927,214.39444,350.00775,41.938217,197.67838,333.8394,38.791195,158.38074,330.66138,42.287067,268.72342,375.42822,48.25253,282.77866,371.41663,37.84763,216.44081,338.27444,44.267532,248.0,307.15955,37.023697,274.51282,351.57248,36.274906,303.5521,357.86987,37.061592,236.80817,310.45572,34.669186,191.71097,316.25458,30.54843,203.3687,319.35547,36.44179,573421072.40675,2019-03-04 19:37:47.406750,GRB190304818
69928,219.10762,352.17926,40.76421,204.55229,335.63034,37.814743,164.861,335.20428,39.74677,275.79785,374.85754,40.21235,281.008,374.93878,36.866364,219.39816,353.97543,45.642654,243.51045,328.53342,31.34487,266.29565,351.59656,38.63052,301.97812,348.4514,36.86486,223.09946,336.11826,34.473667,185.4519,315.48364,31.920444,200.62341,329.34372,33.894386,573421076.502815,2019-03-04 19:37:51.502815,GRB190304818
69929,212.03973,356.07782,40.7618,204.37752,345.26672,39.778175,162.32094,341.87256,40.531284,274.04782,388.02188,45.118824,271.98874,373.76392,40.004112,214.88751,349.65744,44.074467,238.21251,332.24377,29.384766,272.76562,351.2029,34.316307,299.0354,348.84195,33.335094,226.82475,331.4227,29.7732,200.14688,320.19586,37.405144,202.1871,323.46017,30.171331,573421080.598881,2019-03-04 19:37:55.598881,GRB190304818
69930,220.6635,359.999,44.093506,203.97685,331.53586,37.62109,163.50256,329.35486,45.036633,274.04483,386.84067,38.644836,277.45782,359.22455,38.82449,217.03615,338.4824,45.05263,231.74359,337.9186,32.71444,262.94833,356.08813,29.412565,309.2173,345.88412,30.392313,222.90742,336.3199,35.257763,194.27657,327.8417,39.56035,198.87413,320.74576,35.66019,573421084.694946,2019-03-04 19:37:59.694946,GRB190304818
69931,211.25056,357.2447,41.740604,208.6844,341.1451,40.56119,158.60132,332.08377,43.272705,281.10358,372.9085,36.682743,279.81955,366.88324,43.335754,240.55978,349.28183,44.664196,228.60359,322.04312,35.847866,252.55322,377.84943,31.373072,307.45526,357.2599,37.05934,221.5572,348.69305,35.652885,197.61427,327.26804,32.90307,213.752,329.7384,35.85391,573421088.7910111,2019-03-04 19:38:03.791011,GRB190304818
69932,203.0341,370.40005,41.35154,212.02771,336.0698,42.32716,168.19098,330.508,41.900898,286.21606,385.28333,39.82307,287.1009,386.91943,40.594185,225.8744,350.85956,47.212257,238.6094,332.83856,36.24199,263.1455,356.87393,32.746124,307.251,355.09354,36.862278,230.5755,338.12515,36.63349,199.56094,320.3942,37.992954,210.026,322.28806,34.28596,573421092.887076,2019-03-04 19:38:07.887076,GRB190304818
69933,208.11339,352.5386,41.936222,209.0654,341.91107,43.69408,160.94618,332.66125,43.27142,264.45428,393.93488,39.23654,283.18295,382.21854,42.16367,227.0314,356.12003,42.31129,237.26083,331.89087,36.441383,261.3934,369.44122,38.826626,313.52957,373.92175,37.05884,214.88295,334.76294,32.712353,196.04633,329.8122,40.14935,210.03813,326.22528,33.70015,573421096.983149,2019-03-04 19:38:11.983149,GRB190304818
